sign_number,category,simp_match,trad_match,xlsx_text,csv_text,xlsx_simp_no_punct,csv_simp_no_punct,diff_detail,punct_segments,punct_count
90,完全一致,True,True,云尽月当中，光辉到处通，路途逢水顺，千里快如风。,雲盡月當中光輝到處通路途逢水順千里快如風,云尽月当中光辉到处通路途逢水顺千里快如风,云尽月当中光辉到处通路途逢水顺千里快如风,,"[5, 5, 5, 5]",4
91,真正差异,False,False,剑戟列山林，盗贼必来侵，败走擒搜定，封侯荫子孙。,劍戟列山林盗賊必來侵敗走擒搜定封候蔭子孫,剑戟列山林盗贼必来侵败走擒搜定封侯荫子孙,剑戟列山林盗贼必来侵败走擒搜定封候荫子孙,pos16: xlsx=侯(搜定封侯荫子孙) csv=候(搜定封候荫子孙),"[5, 5, 5, 5]",4
92,真正差异,False,False,岸阔水深舟易落，路遥山险步难行，蛇行自有通津日，月上天空分外明。,岸濶水深舟易落路遥山險步難行蛇行自有通津日月上天空分外明,岸阔水深舟易落路遥山险步难行蛇行自有通津日月上天空分外明,岸濶水深舟易落路遥山险步难行蛇行自有通津日月上天空分外明,pos1: xlsx=阔(岸阔水深舟) csv=濶(岸濶水深舟),"[7, 7, 7, 7]",4
93,真正差异,False,False,拟欲迁而未可迁，提防喜处惹勾连，前途若得阴人引，变化鱼龙出大渊。,擬欲遷而未可遷隄防喜處惹勾連前途若得陰人引變化魚龍出大淵,拟欲迁而未可迁提防喜处惹勾连前途若得阴人引变化鱼龙出大渊,拟欲迁而未可迁隄防喜处惹勾连前途若得阴人引变化鱼龙出大渊,pos7: xlsx=提(未可迁提防喜处) csv=隄(未可迁隄防喜处),"[7, 7, 7, 7]",4
94,真正差异,False,False,一人去，一人入，清风明月两相猜，获得金鳞下钓台。,一人去一人入清風明月兩相猜獲得金麟下鈎臺,一人去一人入清风明月两相猜获得金鳞下钓台,一人去一人入清风明月两相猜获得金麟下钩台,pos16: xlsx=鳞(获得金鳞下钓台) csv=麟(获得金麟下钩台); pos18: xlsx=钓(金鳞下钓台) csv=钩(金麟下钩台),"[3, 3, 7, 7]",4
95,真正差异,False,False,喜未稳，悲已遭，大雨狂风吹古木，人人尽道不坚牢。,喜未隱悲己遭大雨狂風吹古木人人盡道不堅牢,喜未稳悲已遭大雨狂风吹古木人人尽道不坚牢,喜未隐悲己遭大雨狂风吹古木人人尽道不坚牢,pos2: xlsx=稳(喜未稳悲已遭) csv=隐(喜未隐悲己遭); pos4: xlsx=已(未稳悲已遭大雨) csv=己(未隐悲己遭大雨),"[3, 3, 7, 7]",4
96,真正差异,False,False,可以寄百里之命，可以托六尺之孤，钟期既遇毋迟误。笑呼呼，乡聚首，各自乐康和。,可以寄百里之命可以托六尺之孤鍾期旣遇母遲誤笑呼呼他鄉聚首各自樂康,可以寄百里之命可以托六尺之孤钟期既遇毋迟误笑呼呼乡聚首各自乐康和,可以寄百里之命可以托六尺之孤钟期既遇母迟误笑呼呼他乡聚首各自乐康,pos18: xlsx=毋(期既遇毋迟误笑) csv=母(期既遇母迟误笑); pos24: xlsx=乡(笑呼呼乡聚首各) csv=他(笑呼呼他乡聚首); pos25: xlsx=聚(呼呼乡聚首各自) csv=乡(呼呼他乡聚首各); pos26: xlsx=首(呼乡聚首各自乐) csv=聚(呼他乡聚首各自); pos27: xlsx=各(乡聚首各自乐康) csv=首(他乡聚首各自乐); pos28: xlsx=自(聚首各自乐康和) csv=各(乡聚首各自乐康); pos29: xlsx=乐(首各自乐康和) csv=自(聚首各自乐康); pos30: xlsx=康(各自乐康和) csv=乐(首各自乐康); pos31: xlsx=和(自乐康和) csv=康(各自乐康),"[7, 7, 7, 3, 3, 5]",6
97,完全一致,True,True,报道上林，春色鲜明，提鞭快着，马上行程。,報道上林春色鮮明提鞭快着馬上行程,报道上林春色鲜明提鞭快着马上行程,报道上林春色鲜明提鞭快着马上行程,,"[4, 4, 4, 4]",4
98,仅异体字,True,False,鼠入土穴，最可安身，日中不见，静夜巡行。,鼠入土穴最可安身日中不見静夜巡行,鼠入土穴最可安身日中不见静夜巡行,鼠入土穴最可安身日中不见静夜巡行,,"[4, 4, 4, 4]",4
99,仅异体字,True,False,打起平生志，西南好去游，腰缠十万贯，骑鹤上扬州。,打起平生志西南好去游腰纏十萬貫騎鶴上揚州,打起平生志西南好去游腰缠十万贯骑鹤上扬州,打起平生志西南好去游腰缠十万贯骑鹤上扬州,,"[5, 5, 5, 5]",4
100,仅异体字,True,False,喜喜喜，终防否，获得骊龙颔下珠，忽然失却，还在水里。,喜喜喜終防否獲得驪龍頷下珠忽然失却還在水裡,喜喜喜终防否获得骊龙颔下珠忽然失却还在水里,喜喜喜终防否获得骊龙颔下珠忽然失却还在水里,,"[3, 3, 7, 4, 4]",5
101,完全一致,True,True,国有贤士，廷无佞臣，干戈不用，常享太平。,國有賢士廷無佞臣干戈不用常享太平,国有贤士廷无佞臣干戈不用常享太平,国有贤士廷无佞臣干戈不用常享太平,,"[4, 4, 4, 4]",4
102,真正差异,False,False,泰来否已极，诸事莫忧心，但须堷养元福，做些好事，行些方便，一点丹灵独得真。,泰來否已極諸事莫憂心但須培養元福做些好事行些方便一點丹靈獨得真,泰来否已极诸事莫忧心但须堷养元福做些好事行些方便一点丹灵独得真,泰来否已极诸事莫忧心但须培养元福做些好事行些方便一点丹灵独得真,pos12: xlsx=堷(心但须堷养元福) csv=培(心但须培养元福),"[5, 5, 6, 4, 4, 7]",6
103,真正差异,False,False,民乐业，官吏清，雍熙之世复见于今，告诸人千秋鸿业，仗此望明君。,民樂業官吏清雍熙之世復見子今告諸人千秋鴻業仗此望明君,民乐业官吏清雍熙之世复见于今告诸人千秋鸿业仗此望明君,民乐业官吏清雍熙之世复见子今告诸人千秋鸿业仗此望明君,pos12: xlsx=于(世复见于今告诸) csv=子(世复见子今告诸),"[3, 3, 8, 7, 5]",5
104,真正差异,False,False,安如泰山，稳如磐石，放胆前行，中通外直。,安如泰山隱如盤石放膽前行中通外直,安如泰山稳如磐石放胆前行中通外直,安如泰山隐如盘石放胆前行中通外直,pos4: xlsx=稳(如泰山稳如磐石) csv=隐(如泰山隐如盘石); pos6: xlsx=磐(山稳如磐石放胆) csv=盘(山隐如盘石放胆),"[4, 4, 4, 4]",4
105,仅异体字,True,False,月中有丹桂，人终攀不着，云梯足下生，此际好落脚。,月中有丹桂人終攀不着雲梯足下生此際好落脚,月中有丹桂人终攀不着云梯足下生此际好落脚,月中有丹桂人终攀不着云梯足下生此际好落脚,,"[5, 5, 5, 5]",4
106,真正差异,False,False,天间一孤雁，嘹唳叹离群，试问知君者，而今有几人。,天間一狐雁嘹嚦歎離羣試問知君者而今有幾人,天间一孤雁嘹唳叹离群试问知君者而今有几人,天间一狐雁嘹呖叹离群试问知君者而今有几人,pos3: xlsx=孤(天间一孤雁嘹唳) csv=狐(天间一狐雁嘹呖); pos6: xlsx=唳(孤雁嘹唳叹离群) csv=呖(狐雁嘹呖叹离群),"[5, 5, 5, 5]",4
107,仅异体字,True,False,红叶无颜色，凋零一夜风，邻鸡醒午梦，心事总成空。,紅葉無顏色凋零一夜風鄰鷄醒午夢心事總成空,红叶无颜色凋零一夜风邻鸡醒午梦心事总成空,红叶无颜色凋零一夜风邻鸡醒午梦心事总成空,,"[5, 5, 5, 5]",4
108,真正差异,False,False,事如麻，理多错，日掩云中，空成耽搁。,事如麻理多錯日掩雲中空成擔擱,事如麻理多错日掩云中空成耽搁,事如麻理多错日掩云中空成担搁,pos12: xlsx=耽(中空成耽搁) csv=担(中空成担搁),"[3, 3, 4, 4]",4
109,完全一致,True,True,勿上旧辙，甘驾新车，东西南北，稳步康衢。,勿上舊轍甘駕新車東西南北穩步康衢,勿上旧辙甘驾新车东西南北稳步康衢,勿上旧辙甘驾新车东西南北稳步康衢,,"[4, 4, 4, 4]",4
110,完全一致,True,True,夜梦被鼠惊，醒来不见人，终宵废寝，直到天明。,夜夢被鼠驚醒來不見人終宵廢寢直到天明,夜梦被鼠惊醒来不见人终宵废寝直到天明,夜梦被鼠惊醒来不见人终宵废寝直到天明,,"[5, 5, 4, 4]",4
111,完全一致,True,True,秋霜肃，夏日炎，新花鲜了旧花淹，世情看冷暖，逢者不须言。,秋霜肅夏日炎新花鮮了舊花淹世情看冷暖逢者不須言,秋霜肃夏日炎新花鲜了旧花淹世情看冷暖逢者不须言,秋霜肃夏日炎新花鲜了旧花淹世情看冷暖逢者不须言,,"[3, 3, 7, 5, 5]",5
112,真正差异,False,False,未展英雄志，驰驱不惮劳，敢将休咎卜，西北夺前标。,來展英雄志馳驅不憚勞敢將休咎卜西北奪前標,未展英雄志驰驱不惮劳敢将休咎卜西北夺前标,来展英雄志驰驱不惮劳敢将休咎卜西北夺前标,pos0: xlsx=未(未展英雄) csv=来(来展英雄),"[5, 5, 5, 5]",4
113,真正差异,False,False,痾染沉沉，终日昏昏，雷门一震，体健身轻。,疴染沉沉終日昏昏雷門一震體健身輕,痾染沉沉终日昏昏雷门一震体健身轻,疴染沉沉终日昏昏雷门一震体健身轻,pos0: xlsx=痾(痾染沉沉) csv=疴(疴染沉沉),"[4, 4, 4, 4]",4
114,真正差异,False,False,易非易，难非难，忽地起波澜，欢笑两三番。,易花易難非難忽地起波瀾歡笑兩三番,易非易难非难忽地起波澜欢笑两三番,易花易难非难忽地起波澜欢笑两三番,pos1: xlsx=非(易非易难非) csv=花(易花易难非),"[3, 3, 5, 5]",4
115,真正差异,False,False,路不通，门闭塞，谨慎提防，云藏月黑。,路不通門閉塞謹慎隄防雲藏月黑,路不通门闭塞谨慎提防云藏月黑,路不通门闭塞谨慎隄防云藏月黑,pos8: xlsx=提(塞谨慎提防云藏) csv=隄(塞谨慎隄防云藏),"[3, 3, 4, 4]",4
116,完全一致,True,True,蜗角蝇头利，而今已变通，草头人笑汝，宜始不宜终。,蝸角蠅頭利而今已變通草頭人笑汝宜始不宜終,蜗角蝇头利而今已变通草头人笑汝宜始不宜终,蜗角蝇头利而今已变通草头人笑汝宜始不宜终,,"[5, 5, 5, 5]",4
117,真正差异,False,False,珠玉走盘中，田园定阜丰，休言谋未遂，此去便亨通。,珠王走盤中田園定阜豐休言謀未遂此去便亨通,珠玉走盘中田园定阜丰休言谋未遂此去便亨通,珠王走盘中田园定阜丰休言谋未遂此去便亨通,pos1: xlsx=玉(珠玉走盘中) csv=王(珠王走盘中),"[5, 5, 5, 5]",4
118,真正差异,False,False,月已明，花再发，事悠悠，无不合。,月已明花最發事悠悠無不合,月已明花再发事悠悠无不合,月已明花最发事悠悠无不合,pos4: xlsx=再(已明花再发事悠) csv=最(已明花最发事悠),"[3, 3, 3, 3]",4
119,完全一致,True,True,朦胧秋月映朱门，林外鸟声远寺僧，自有贵人来接引，何须巧语似流莺。,朦朧秋月映朱門林外鳥聲遠寺僧自有貴人來接引何須巧語似流鶯,朦胧秋月映朱门林外鸟声远寺僧自有贵人来接引何须巧语似流莺,朦胧秋月映朱门林外鸟声远寺僧自有贵人来接引何须巧语似流莺,,"[7, 7, 7, 7]",4
120,真正差异,False,False,事未宽，心不安，疑虑久，始安然。,事末寬心不安疑慮久始安然,事未宽心不安疑虑久始安然,事末宽心不安疑虑久始安然,pos1: xlsx=未(事未宽心不) csv=末(事末宽心不),"[3, 3, 3, 3]",4
121,仅异体字,True,False,虚名虚位久沉沉，禄马当求未见真，一片彩云秋后至，去年风物一时新。,虚名虛位久沉沉禄馬當求未見真一片彩雲秋後至去年風物一時新,虚名虚位久沉沉禄马当求未见真一片彩云秋后至去年风物一时新,虚名虚位久沉沉禄马当求未见真一片彩云秋后至去年风物一时新,,"[7, 7, 7, 7]",4
122,完全一致,True,True,止止止，有终有始，似月如花，守成而已。,止止止有終有始似月如花守成而已,止止止有终有始似月如花守成而已,止止止有终有始似月如花守成而已,,"[3, 4, 4, 4]",4
123,完全一致,True,True,明月全圆，颜色欣然，风云相送，和合万年。,明月全圓顏色欣然風雲相送和合萬年,明月全圆颜色欣然风云相送和合万年,明月全圆颜色欣然风云相送和合万年,,"[4, 4, 4, 4]",4
124,真正差异,False,False,宝镜新，照两人，心中结，合同心。,寶鏡親照兩人心中結合同心,宝镜新照两人心中结合同心,宝镜亲照两人心中结合同心,pos2: xlsx=新(宝镜新照两人) csv=亲(宝镜亲照两人),"[3, 3, 3, 3]",4
125,完全一致,True,True,居下不亲上，人心易散离，事机终失一，凡百尽成灰。,居下不親上人心易散離事機終失一凡百盡成灰,居下不亲上人心易散离事机终失一凡百尽成灰,居下不亲上人心易散离事机终失一凡百尽成灰,,"[5, 5, 5, 5]",4
126,真正差异,False,False,兀兀尘埃久待时，幽窗寂静有谁知，若逢青紫人相引，财利功名自可期。,元兀塵埃久待時幽窗寂静有誰知若逢青紫人相引財利功名自可,兀兀尘埃久待时幽窗寂静有谁知若逢青紫人相引财利功名自可期,元兀尘埃久待时幽窗寂静有谁知若逢青紫人相引财利功名自可,pos0: xlsx=兀(兀兀尘埃) csv=元(元兀尘埃); pos27: xlsx=期(名自可期) csv=<无>(名自可),"[7, 7, 7, 7]",4
127,完全一致,True,True,虎伏在路途，行人莫乱呼，路旁须仔细，灾祸自然无。,虎伏在路途行人莫亂呼路旁須仔細災禍自然無,虎伏在路途行人莫乱呼路旁须仔细灾祸自然无,虎伏在路途行人莫乱呼路旁须仔细灾祸自然无,,"[5, 5, 5, 5]",4
128,仅异体字,True,False,和不和，同不同，翻云覆雨几成空，进退须防终少功。,和不和同不同翻雲覆雨几成空進退須防終少功,和不和同不同翻云覆雨几成空进退须防终少功,和不和同不同翻云覆雨几成空进退须防终少功,,"[3, 3, 7, 7]",4
129,完全一致,True,True,东边事，西边成，风物月华明，高楼弄笛声。,東邊事西邊成風物月華明高樓弄笛聲,东边事西边成风物月华明高楼弄笛声,东边事西边成风物月华明高楼弄笛声,,"[3, 3, 5, 5]",4
130,真正差异,False,False,事团圆，物周旋，一来一往，平步青天。,事團團物周旋一來一往平步青天,事团圆物周旋一来一往平步青天,事团团物周旋一来一往平步青天,pos2: xlsx=圆(事团圆物周旋) csv=团(事团团物周旋),"[3, 3, 4, 4]",4
131,真正差异,False,False,浅水起风波，平地生荆棘，言语虑参商，犹恐无端的。,漫水起風波平地生荆棘言語慮參商猶恐無端的,浅水起风波平地生荆棘言语虑参商犹恐无端的,漫水起风波平地生荆棘言语虑参商犹恐无端的,pos0: xlsx=浅(浅水起风) csv=漫(漫水起风),"[5, 5, 5, 5]",4
132,真正差异,False,False,秋月云开后，薰风雨过时，若逢楚国旧知己，等闲一荐不须疑。,秋月雲開後薰風雨過時若逢楚國舊知已等閒一薦不須疑,秋月云开后薰风雨过时若逢楚国旧知己等闲一荐不须疑,秋月云开后薰风雨过时若逢楚国旧知已等闲一荐不须疑,pos16: xlsx=己(国旧知己等闲一) csv=已(国旧知已等闲一),"[5, 5, 7, 7]",4
133,仅异体字,True,False,心已定，事何忧，金鳞已上钩，功名一网收。,心已定事何憂金鱗已上鈎功名一網收,心已定事何忧金鳞已上钩功名一网收,心已定事何忧金鳞已上钩功名一网收,,"[3, 3, 5, 5]",4
134,完全一致,True,True,意迷己不迷，事宽心不宽，要知端的信，犹隔两重山。,意迷己不迷事寬心不寬要知端的信猶隔兩重山,意迷己不迷事宽心不宽要知端的信犹隔两重山,意迷己不迷事宽心不宽要知端的信犹隔两重山,,"[5, 5, 5, 5]",4
135,完全一致,True,True,笑中生不足，内外见愁哭，云散月光辉，转祸当成福。,笑中生不足內外見愁哭雲散月光輝轉禍當成福,笑中生不足内外见愁哭云散月光辉转祸当成福,笑中生不足内外见愁哭云散月光辉转祸当成福,,"[5, 5, 5, 5]",4
136,真正差异,False,False,檐前鹊噪正翩翩，忧虑全消喜自然，一人进了一人退，下梢还有好姻缘。,簷前鵲噪正翩翩憂慮全消喜自然一人進了一人退下梢還有,檐前鹊噪正翩翩忧虑全消喜自然一人进了一人退下梢还有好姻缘,簷前鹊噪正翩翩忧虑全消喜自然一人进了一人退下梢还有,pos0: xlsx=檐(檐前鹊噪) csv=簷(簷前鹊噪); pos25: xlsx=好(梢还有好姻缘) csv=<无>(梢还有); pos26: xlsx=姻(还有好姻缘) csv=<无>(还有); pos27: xlsx=缘(有好姻缘) csv=<无>(有),"[7, 7, 7, 7]",4
137,仅异体字,True,False,荆棘生平地，风波起四方，倚栏惆怅望，无语对斜阳。,荆棘生平地風波起四方倚欄惆悵望無語對斜陽,荆棘生平地风波起四方倚栏惆怅望无语对斜阳,荆棘生平地风波起四方倚栏惆怅望无语对斜阳,,"[5, 5, 5, 5]",4
138,完全一致,True,True,谋已定，事何忧，照月上重楼，云中客点头。,謀已定事何憂照月上重樓雲中客點頭,谋已定事何忧照月上重楼云中客点头,谋已定事何忧照月上重楼云中客点头,,"[3, 3, 5, 5]",4
139,完全一致,True,True,奇奇奇，地利与天时，灯花传信后，动静总相宜。,奇奇奇地利與天時燈花傳信後動靜總相宜,奇奇奇地利与天时灯花传信后动静总相宜,奇奇奇地利与天时灯花传信后动静总相宜,,"[3, 5, 5, 5]",4
140,真正差异,False,False,遇不遇，逢不逢，月沉海底，人在梦中。,遇不遇逢不逢月沈海底人在夢中,遇不遇逢不逢月沉海底人在梦中,遇不遇逢不逢月沈海底人在梦中,pos7: xlsx=沉(不逢月沉海底人) csv=沈(不逢月沈海底人),"[3, 3, 4, 4]",4
141,完全一致,True,True,暗中防霹雳，猜虑浑无实，转眼黑云收，拥出扶桑日。,暗中防霹靂猜慮渾無實轉眼黑雲收擁出扶桑日,暗中防霹雳猜虑浑无实转眼黑云收拥出扶桑日,暗中防霹雳猜虑浑无实转眼黑云收拥出扶桑日,,"[5, 5, 5, 5]",4
142,真正差异,False,False,利在中邦出战时，一番获馈在王庭，凤衔丹诏归阳畔，得享佳名四海荣。,利在中邦出戰征一番獲醜在王庭鳳啣丹詔歸陽畔得享佳名四海榮,利在中邦出战时一番获馈在王庭凤衔丹诏归阳畔得享佳名四海荣,利在中邦出战征一番获丑在王庭凤啣丹诏归阳畔得享佳名四海荣,pos6: xlsx=时(邦出战时一番获) csv=征(邦出战征一番获); pos10: xlsx=馈(一番获馈在王庭) csv=丑(一番获丑在王庭); pos15: xlsx=衔(王庭凤衔丹诏归) csv=啣(王庭凤啣丹诏归),"[7, 7, 7, 7]",4
143,真正差异,False,False,堪叹外边忧，更嗟门里闹，意绪更牵缠，心神亦颠倒。,堪歎外邊憂更嗟門裡鬧意緒更牽缠心神亦顛到,堪叹外边忧更嗟门里闹意绪更牵缠心神亦颠倒,堪叹外边忧更嗟门里闹意绪更牵缠心神亦颠到,pos19: xlsx=倒(神亦颠倒) csv=到(神亦颠到),"[5, 5, 5, 5]",4
144,真正差异,False,False,一重山一重水，风波道坦然，壸中有别天。,一重水一重山風波道坦然壺中别有天,一重山一重水风波道坦然壸中有别天,一重水一重山风波道坦然壶中别有天,pos2: xlsx=山(一重山一重水) csv=水(一重水一重山); pos5: xlsx=水(山一重水风波道) csv=山(水一重山风波道); pos11: xlsx=壸(道坦然壸中有别) csv=壶(道坦然壶中别有); pos13: xlsx=有(然壸中有别天) csv=别(然壶中别有天); pos14: xlsx=别(壸中有别天) csv=有(壶中别有天),"[6, 5, 5]",3
145,完全一致,True,True,遇险不须忧，风波何足忌，若遇草头人，咫尺青云路。,遇險不須憂風波何足忌若遇草頭人咫尺青雲路,遇险不须忧风波何足忌若遇草头人咫尺青云路,遇险不须忧风波何足忌若遇草头人咫尺青云路,,"[5, 5, 5, 5]",4
146,真正差异,False,False,船棹中流急，花开春又离，事宁心不静，惹起许多疑。,船棹中流急花開春又逢事寧心不静惹起許多疑,船棹中流急花开春又离事宁心不静惹起许多疑,船棹中流急花开春又逢事宁心不静惹起许多疑,pos9: xlsx=离(开春又离事宁心) csv=逢(开春又逢事宁心),"[5, 5, 5, 5]",4
147,完全一致,True,True,可蓄可储，片玉寸珠，停停稳稳，前遇良图。,可蓄可儲片玉寸珠停停穩穩前遇良圖,可蓄可储片玉寸珠停停稳稳前遇良图,可蓄可储片玉寸珠停停稳稳前遇良图,,"[4, 4, 4, 4]",4
148,真正差异,False,False,小子早趋庭，青云久问程，贵人来助力，花谢子还成。,小子早趨庭青雲久問程貴人來助力花謝子還成O,小子早趋庭青云久问程贵人来助力花谢子还成,小子早趋庭青云久问程贵人来助力花谢子还成O,pos20: xlsx=<无>(子还成) csv=O(子还成O),"[5, 5, 5, 5]",4
149,完全一致,True,True,一心两事，一事两心，新花枯树，直待交春。,一心兩事一事兩心新花枯樹直待交春,一心两事一事两心新花枯树直待交春,一心两事一事两心新花枯树直待交春,,"[4, 4, 4, 4]",4
150,完全一致,True,True,大事恐难图；残花不再鲜。,大事恐難圖殘花不再鮮,大事恐难图残花不再鲜,大事恐难图残花不再鲜,,"[5, 5]",2
151,真正差异,False,False,莫道事无讹，其中进退多，桂轮圆又缺，光彩更揩磨。,莫道事無訛其中進退多桂輪圆又缺光彩更楷磨,莫道事无讹其中进退多桂轮圆又缺光彩更揩磨,莫道事无讹其中进退多桂轮圆又缺光彩更楷磨,pos18: xlsx=揩(光彩更揩磨) csv=楷(光彩更楷磨),"[5, 5, 5, 5]",4
152,真正差异,False,False,莫叹事迟留，休言不到头，长竿终入手，一钓上金钩。,莫數事遲留休言不到頭長竿終入手一釣上金鈎,莫叹事迟留休言不到头长竿终入手一钓上金钩,莫数事迟留休言不到头长竿终入手一钓上金钩,pos1: xlsx=叹(莫叹事迟留) csv=数(莫数事迟留),"[5, 5, 5, 5]",4
153,仅异体字,True,False,事称应有忌，未为恐先踬，欲往且迟迟，还须借势力。,事稱應有忌未為恐先躓欲往且遲遲還須借勢力,事称应有忌未为恐先踬欲往且迟迟还须借势力,事称应有忌未为恐先踬欲往且迟迟还须借势力,,"[5, 5, 5, 5]",4
154,仅异体字,True,False,足不安，舆不安，两两事相得，忧来却又欢。,足不安輿不安兩兩事相得憂來却又歡,足不安舆不安两两事相得忧来却又欢,足不安舆不安两两事相得忧来却又欢,,"[3, 3, 5, 5]",4
155,仅异体字,True,False,鼎折足，车脱辐，有贵人，重整续。,鼎折足車脱輻有貴人重整續,鼎折足车脱辐有贵人重整续,鼎折足车脱辐有贵人重整续,,"[3, 3, 3, 3]",4
156,完全一致,True,True,参详言语，波涛扬沸，事久无伤，时间不利。,參詳言語波濤揚沸事久無傷時間不利,参详言语波涛扬沸事久无伤时间不利,参详言语波涛扬沸事久无伤时间不利,,"[4, 4, 4, 4]",4
157,仅异体字,True,False,贵客自相亲，功名唾手成，获金须积德，仰望太阳升。,貴客自相親功名唾手成獲金須積德仰望太陽升,贵客自相亲功名唾手成获金须积德仰望太阳升,贵客自相亲功名唾手成获金须积德仰望太阳升,,"[5, 5, 5, 5]",4
158,完全一致,True,True,平地起波澜，所求事日难，笑谈终有忌，同心事觉欢。,平地起波瀾所求事日難笑談終有忌同心事覺歡,平地起波澜所求事日难笑谈终有忌同心事觉欢,平地起波澜所求事日难笑谈终有忌同心事觉欢,,"[5, 5, 5, 5]",4
159,真正差异,False,False,狂风吹起墨云飞，月在天心遮不得，闲时无事暂相关，到底依然无克剥。,狂風吹起墨雲飛月在天心遮不得閒時無事暫相關到底依然無尅剝,狂风吹起墨云飞月在天心遮不得闲时无事暂相关到底依然无克剥,狂风吹起墨云飞月在天心遮不得闲时无事暂相关到底依然无尅剥,pos26: xlsx=克(依然无克剥) csv=尅(依然无尅剥),"[7, 7, 7, 7]",4
160,完全一致,True,True,人倚楼，许多愁，澹然进步，事始无忧。,人倚樓許多愁澹然進步事始無憂,人倚楼许多愁澹然进步事始无忧,人倚楼许多愁澹然进步事始无忧,,"[3, 3, 4, 4]",4
161,真正差异,False,False,一点着阳春，枯枝朵朵新，志专方遇合，切忌二三心。,一點着陽春枯枝朶朶新志專方遇合切忌二三心,一点着阳春枯枝朵朵新志专方遇合切忌二三心,一点着阳春枯枝朶朶新志专方遇合切忌二三心,pos7: xlsx=朵(春枯枝朵朵新志) csv=朶(春枯枝朶朶新志); pos8: xlsx=朵(枯枝朵朵新志专) csv=朶(枯枝朶朶新志专),"[5, 5, 5, 5]",4
162,仅异体字,True,False,道路迢遥，门庭闭塞，雾拥去兮，云开见日。,道路迢遥門庭閉塞霧擁去兮雲開見日,道路迢遥门庭闭塞雾拥去兮云开见日,道路迢遥门庭闭塞雾拥去兮云开见日,,"[4, 4, 4, 4]",4
163,仅异体字,True,False,鱼上钩，丝纶弱，收拾难，力再着。,魚上鈎絲綸弱收拾難力再着,鱼上钩丝纶弱收拾难力再着,鱼上钩丝纶弱收拾难力再着,,"[3, 3, 3, 3]",4
164,仅异体字,True,False,相引更相牵，殷勤喜自然，施为无不利，愁事转团圆。,相引更相牽殷勤喜自然施為無不利愁事轉團圓,相引更相牵殷勤喜自然施为无不利愁事转团圆,相引更相牵殷勤喜自然施为无不利愁事转团圆,,"[5, 5, 5, 5]",4
165,仅异体字,True,False,疑疑疑，一番笑罢一番悲，落红满地无人扫，独对西风怅黛眉。,疑疑疑一番笑罷一番悲落紅满地無人掃獨對西風悵黛眉,疑疑疑一番笑罢一番悲落红满地无人扫独对西风怅黛眉,疑疑疑一番笑罢一番悲落红满地无人扫独对西风怅黛眉,,"[3, 7, 7, 7]",4
166,完全一致,True,True,上下不和同，劳而未有功，出门通大道，从此保初终。,上下不和同勞而未有功出門通大道從此保初終,上下不和同劳而未有功出门通大道从此保初终,上下不和同劳而未有功出门通大道从此保初终,,"[5, 5, 5, 5]",4
167,完全一致,True,True,大事可成功，有益还无咎，云中执鞭人，报在三秋后）。,大事可成功有益還無咎雲中執鞭人報在三秋後,大事可成功有益还无咎云中执鞭人报在三秋后,大事可成功有益还无咎云中执鞭人报在三秋后,,"[5, 5, 5, 5]",5
168,完全一致,True,True,桑榆催暮景，缺月恐难圆，若遇刀锥客，方知喜自然。,桑榆催暮景缺月恐難圓若遇刀錐客方知喜自然,桑榆催暮景缺月恐难圆若遇刀锥客方知喜自然,桑榆催暮景缺月恐难圆若遇刀锥客方知喜自然,,"[5, 5, 5, 5]",4
169,真正差异,False,False,遍书前后事，艰险往来难，若得清风便，扁舟过远山。,遍書前前事艱險往來難若得清風便扁舟過遠山,遍书前后事艰险往来难若得清风便扁舟过远山,遍书前前事艰险往来难若得清风便扁舟过远山,pos3: xlsx=后(遍书前后事艰险) csv=前(遍书前前事艰险),"[5, 5, 5, 5]",4
170,仅异体字,True,False,莫叹残花，花开枯树，屋头春意，喜笑嘻嘻。,莫歎残花花開枯樹屋頭春意喜笑嘻嘻,莫叹残花花开枯树屋头春意喜笑嘻嘻,莫叹残花花开枯树屋头春意喜笑嘻嘻,,"[4, 4, 4, 4]",4
171,完全一致,True,True,一事总成空，一事还成喜，若遇口边人，心下堪凭委。,一事總成空一事還成喜若遇口邊人心下堪憑委,一事总成空一事还成喜若遇口边人心下堪凭委,一事总成空一事还成喜若遇口边人心下堪凭委,,"[5, 5, 5, 5]",4
172,真正差异,False,False,欲得月中兔，须凭桃李拂，高山来接引，双喜照双眉。,欲得月中兎須憑桃李拂高山來接引雙喜照雙眉,欲得月中兔须凭桃李拂高山来接引双喜照双眉,欲得月中兎须凭桃李拂高山来接引双喜照双眉,pos4: xlsx=兔(得月中兔须凭桃) csv=兎(得月中兎须凭桃),"[5, 5, 5, 5]",4
173,仅异体字,True,False,事遂勿忧煎，春风喜自然，更垂三尺钩，得意获鳞鲜。,事遂勿憂煎春風喜自然更垂三尺鈎得意獲鳞鮮,事遂勿忧煎春风喜自然更垂三尺钩得意获鳞鲜,事遂勿忧煎春风喜自然更垂三尺钩得意获鳞鲜,,"[5, 5, 5, 5]",4
